titre_original,durée,date,score,nbr_votants,desciption,genre,acteurs
Platoon,2h,1986,8.1,422K,"Chris Taylor, a neophyte recruit in Vietnam, finds himself caught in a battle of wills between two sergeants, one good and the other evil. A shrewd examination of the brutality of war and the duality of man in conflict.","Drama,War","Charlie Sheen,Tom Berenger,Willem Dafoe,Charlie Sheen,Tom Berenger,Willem Dafoe"
Rocky,2h,1976,8.1,594K,A small-time Philadelphia boxer gets a supremely rare chance to fight the world heavyweight champion in a bout in which he strives to go the distance for his self-respect.,"Drama,Sport","Sylvester Stallone,Talia Shire,Burt Young,Sylvester Stallone,Talia Shire,Burt Young"
Hotel Rwanda,2h 1m,2004,8.1,361K,"Paul Rusesabagina, a hotel manager, houses over a thousand Tutsi refugees during their struggle against the Hutu militia in Rwanda, Africa.","Biography,Drama,History","Don Cheadle,Sophie Okonedo,Joaquin Phoenix,Don Cheadle,Sophie Okonedo,Joaquin Phoenix"
Ford v Ferrari,2h 32m,2019,8.1,412K,American car designer Carroll Shelby and driver Ken Miles battle corporate interference and the laws of physics to build a revolutionary race car for Ford in order to defeat Ferrari at the 24 Hours of Le Mans in 1966.,"Action,Biography,Drama","Matt Damon,Christian Bale,Jon Bernthal,Matt Damon,Christian Bale,Jon Bernthal"
The Passion of Joan of Arc,1h 54m,1928,8.2,57K,"In 1431, Jeanne d'Arc is placed on trial on charges of heresy. The ecclesiastical jurists attempt to force Jeanne to recant her claims of holy visions.","Biography,Drama,History","Maria Falconetti,Eugene Silvain,André Berley,Maria Falconetti,Eugene Silvain,André Berley"
Tokyo Story,2h 16m,1953,8.2,64K,"An old couple visit their children and grandchildren in the city, but receive little attention.",Drama,"Chishû Ryû,Chieko Higashiyama,Sô Yamamura,Chishû Ryû,Chieko Higashiyama,Sô Yamamura"
The Big Lebowski,1h 57m,1998,8.1,823K,"Ultimate L.A. slacker Jeff ""The Dude"" Lebowski, mistaken for a millionaire of the same name, seeks restitution for a rug ruined by debt collectors, enlisting his bowling buddies for help while trying to find the millionaire's missing wife.","Comedy,Crime","Jeff Bridges,John Goodman,Julianne Moore,Jeff Bridges,John Goodman,Julianne Moore"
Room,1h 58m,2015,8.1,430K,"A little boy is held captive in a room with his mother since his birth, so he has never known the world outside.","Drama,Thriller","Brie Larson,Jacob Tremblay,Sean Bridgers,Brie Larson,Jacob Tremblay,Sean Bridgers"
Jaws,2h 4m,1975,8.1,620K,"When a killer shark unleashes chaos on a beach community off Cape Cod, it's up to a local sheriff, a marine biologist, and an old seafarer to hunt the beast down.","Adventure,Thriller","Roy Scheider,Robert Shaw,Richard Dreyfuss,Roy Scheider,Robert Shaw,Richard Dreyfuss"
Dead Poets Society,2h 8m,1989,8.1,506K,Maverick teacher John Keating uses poetry to embolden his boarding school students to new heights of self-expression.,"Comedy,Drama","Robin Williams,Robert Sean Leonard,Ethan Hawke,Robin Williams,Robert Sean Leonard,Ethan Hawke"
