acteurs,date,desciption,durée,genre,nbr_eposodes,nbr_saison,nbr_votants,score,titre_original
"Manoj Bajpayee,Samantha Ruth Prabhu,Priyamani",2019– ,"A working man from the National Investigation Agency tries to protect the nation from terrorism, but he also needs to keep his family safe from his secret job.",45,"Action,Comedy,Drama",20,3 seasons,90K,8.7,The Family Man
"Chris O'Dowd,Richard Ayoade,Katherine Parkinson",2006–2013,"The comedic misadventures of Roy, Moss and their grifting supervisor Jen, a rag-tag team of IT support workers at a large corporation headed by a hotheaded yuppie.",25,Comedy,25,5 seasons,157K,8.5,The IT Crowd
"Kazuya Nakai,Ginpei Sato,Ayako Kawasumi",2004–2005,"Fuu, a waitress who works in a teahouse, rescues two master swordsmen, Mugen and Jin, from their execution to help her find the ""samurai who smells of sunflowers.""",24,"Animation,Action,Adventure",26,2 years,51K,8.6,Samurai Champloo
"Paul Eddington,Nigel Hawthorne,Derek Fowlds",1986–1987,James Hacker was propelled along the corridors of power to the very pinnacle of politics - Number 10.,30,Comedy,16,2 seasons,12K,8.6,"Yes, Prime Minister"
"David Alexanian,Charley Boorman,Russ Malkin",2004–2010,"This documentary series follows actors Ewan McGregor and Charley Boorman on a motorcycle trip around the world. The two friends will travel through such places as Siberia, Kazakhstan, Mongolia, and Alaska, before finally ending the journey in New York. The filming will be done by on board cameras and one ride along cameraman.",315,"Documentary,Adventure",10,,15K,8.6,Long Way Round
"Kayvan Novak,Matt Berry,Natasia Demetriou",2019– ,A look into the nightly lives of four vampires who have lived together on Staten Island for over a century.,30,"Comedy,Fantasy,Horror",42,6 seasons,83K,8.6,What We Do in the Shadows
"Will Buxton,Jack Nicholls,Daniel Ricciardo",2019– ,Docuseries following the FIA Formula One World Championship across multiple seasons.,40,"Documentary,Sport",51,6 seasons,45K,8.6,Formula 1: Drive to Survive
"Andrija Kuzmanovic,Marija Bergam,Dragan Bjelogrlic",2017– ,"A historical fiction drama and thriller set in the turbulent period of the late 1920s in the Balkans as a place where high politics, local interests, capital and crime all merge together.",60,"Crime,Drama,Thriller",20,2 seasons,12K,8.9,Black Sun
"Simon Pegg,Jessica Hynes,Julia Deakin",1999–2001,"Friends Tim and Daisy, 20-something North Londoners with uncertain futures, must pretend to be a couple to live in the only apartment they can afford.",25,"Action,Comedy",14,2 seasons,56K,8.6,Spaced
"James Murray,Brian Quinn,Sal Vulcano",2011– ,"Q, Sal, Joe and Murr are real-life best friends who love challenging each other to the most outrageous dares and stunts ever caught on hidden camera.",30,"Comedy,Reality-TV",277,10 seasons,42K,8.6,Impractical Jokers
"Mathieu Kassovitz,Florence Loiret Caille,Jonathan Zaccaï",2015– ,,52,"Drama,Thriller",50,5 seasons,13K,8.7,The Bureau
"Jack Davenport,Gina Bellman,Sarah Alexander",2000–2004,Six best friends talk about all aspects of sex and relationships on their never-ending quest to find true love.,30,"Comedy,Romance",28,4 seasons,46K,8.6,Coupling
"Christopher McCulloch,James Urbaniak,Doc Hammer",2003–2018,"The bizarre escapades of pseudo-heroic scientist Dr. Rusty Venture, his competent, high-strung bodyguard, and his two overenthusiastic sons.",22,"Animation,Action,Adventure",86,7 seasons,27K,8.6,The Venture Bros.
"Edward James Olmos,Mary McDonnell,Katee Sackhoff",2003,"Following the destruction of the Twelve Colonies of Kobol by the Cylons, a rag-tag fugitive fleet of the last remnants of mankind flees the pursuing Cylons while simultaneously searching for their true home: Earth.",183,"Action,Adventure,Drama",2,,77K,8.5,Battlestar Galactica
"Brice Armstrong,Steve Olson,Stephanie Nadolny",1995–2003,"Dragon Ball tells the tale of a young warrior by the name of Son Goku, a young peculiar boy with a tail who embarks on a quest to become stronger and learns of the Dragon Balls, when, once all 7 are gathered, grant any wish of choice.",24,"Animation,Action,Adventure",153,9 seasons,62K,8.6,Dragon Ball
"Ramón Valdés,Carlos Villagrán,Roberto Gómez Bolaños",1972–1983,"The misadventures of a poor, homeless, fumbling boy and his friends in their humble neighborhood.",30,"Comedy,Family",357,8 seasons,11K,8.7,El Chavo del Ocho
"Masako Nozawa,Jôji Yanami,Brice Armstrong",1986–1989,"Son Gokû, a fighter with a monkey tail, goes on a quest with an assortment of odd characters in search of the Dragon Balls, a set of crystals that can give its bearer anything they desire.",25,"Animation,Action,Adventure",153,5 years,60K,8.6,Dragon Ball
"Jemaine Clement,Bret McKenzie,Rhys Darby",2007–2009,"Bret and Jemaine are Flight of the Conchords, a folk-rock band from New Zealand living in New York City in search of stardom.",28,"Comedy,Music,Musical",22,2 seasons,63K,8.6,Flight of the Conchords
"Richard Belzer,Clark Johnson,Yaphet Kotto",1993–1999,Life on the Street is an American police procedural television series chronicling the work of a fictional version of the Baltimore Police Department's Homicide Unit.,60,"Crime,Drama,Mystery",122,7 seasons,13K,8.7,Homicide: Life on the Street
"Bob Kane,William Moulton Marston,Joe Shuster",2001–2004,Seven of the most formidable heroes form arguably the most powerful team ever.,22,"Animation,Action,Adventure",52,2 seasons,48K,8.6,Justice League
